"host_since","host_is_superhost","neighbourhood_cleansed","room_type","accommodates","price","review_scores_rating","number_of_reviews","minimum_nights","reviews_per_month","bedrooms","beds","availability_30","last_review","license","instant_bookable","prop_type_simplified","price_4_nights"
2010-11-01,FALSE,"Top 5","Private room",2,103,4.72,126,2,1.11,1,2,7,2020-03-08,"yes",FALSE,"Other",412
2012-01-04,FALSE,"Top 6-10","Entire home/apt",2,95,4.55,52,3,0.49,1,1,0,2017-04-10,"yes",FALSE,"Other",380
2012-01-04,FALSE,"Top 5","Entire home/apt",3,99,4.7,89,2,1.04,1,1,0,2019-07-24,"no",FALSE,"Entire rental unit",396
2012-01-06,TRUE,"Top 6-10","Entire home/apt",4,275,4.9,129,1,1.44,1,4,28,2019-06-12,"no",FALSE,"Entire rental unit",1100
2011-09-11,FALSE,"Top 5","Entire home/apt",4,170,4.61,23,3,0.49,2,2,9,2019-09-27,"yes",FALSE,"Entire rental unit",680
2011-09-11,FALSE,"Top 5","Entire home/apt",2,125,4.5,2,3,0.02,1,1,0,2015-10-24,"yes",FALSE,"Entire rental unit",500
2011-09-11,FALSE,"Top 5","Private room",2,95,4.77,35,3,0.41,1,1,0,2019-01-23,"yes",FALSE,"Private room in rental unit",380
2012-01-12,FALSE,"Top 6-10","Entire home/apt",2,169,4.78,28,2,0.28,1,1,0,2014-04-29,"no",FALSE,"Entire rental unit",676
2012-01-12,TRUE,"Top 5","Entire home/apt",2,190,4.74,81,3,0.72,1,1,23,2020-08-24,"yes",FALSE,"Entire rental unit",760
2011-08-26,FALSE,"Top 6-10","Entire home/apt",2,95,4.72,53,3,0.55,1,1,0,2017-10-14,"no",FALSE,"Entire rental unit",380
2012-01-23,FALSE,"Top 5","Entire home/apt",4,166,4.74,387,1,3.4,1,2,1,2021-06-20,"no",FALSE,"Entire rental unit",664
2012-01-23,FALSE,"Top 5","Entire home/apt",4,88,4.73,32,1,0.33,2,2,0,2016-06-12,"no",FALSE,"Entire rental unit",352
2012-01-30,TRUE,"Top 5","Private room",4,148,4.94,535,3,4.73,1,4,0,2020-10-05,"yes",TRUE,"Other",592
2012-02-02,FALSE,"Top 6-10","Entire home/apt",4,220,4.88,27,2,0.33,4,4,0,2018-01-06,"yes",FALSE,"Other",880
2012-02-10,FALSE,"Top 5","Entire home/apt",2,150,4.89,37,4,0.37,1,1,0,2019-06-24,"no",FALSE,"Entire rental unit",600
2012-02-14,FALSE,"Top 5","Entire home/apt",4,169,4.75,43,2,0.39,2,3,0,2020-03-08,"no",FALSE,"Entire rental unit",676
2012-02-26,FALSE,"Top 5","Entire home/apt",2,200,4.64,27,3,0.27,1,1,28,2016-03-30,"yes",FALSE,"Entire rental unit",800
2012-02-26,TRUE,"Top 6-10","Entire home/apt",4,238,4.86,93,2,0.81,4,4,0,2021-08-16,"yes",FALSE,"Entire townhouse",952
2012-03-03,FALSE,"Top 5","Private room",2,100,4.74,416,2,3.83,1,1,4,2019-05-31,"yes",FALSE,"Other",400
2012-03-04,FALSE,"Top 5","Entire home/apt",2,182,5,11,1,0.21,1,1,0,2019-04-28,"yes",FALSE,"Other",728
2012-03-04,FALSE,"Top 6-10","Entire home/apt",2,119,4.91,70,4,0.62,1,1,0,2021-02-19,"yes",FALSE,"Entire rental unit",476
2012-03-11,TRUE,"Top 5","Entire home/apt",2,350,4.94,109,4,1.17,1,1,6,2021-07-30,"yes",TRUE,"Other",1400
2012-03-12,FALSE,"Top 5","Private room",2,199,4.65,82,3,0.73,1,1,30,2020-03-07,"yes",TRUE,"Other",796
2012-03-17,FALSE,"Top 6-10","Entire home/apt",4,295,4.78,55,4,0.55,2,2,0,2019-08-10,"no",FALSE,"Entire rental unit",1180
2012-03-21,TRUE,"Top 5","Private room",2,85,4.87,574,3,5.62,1,1,0,2019-12-30,"yes",FALSE,"Private room in rental unit",340
2012-04-03,FALSE,"Top 5","Entire home/apt",2,98,4.86,7,4,0.11,1,1,0,2017-05-31,"yes",FALSE,"Entire rental unit",392
2011-10-26,FALSE,"Top 11-15","Entire home/apt",3,145,4.92,69,2,0.63,1,1,1,2020-09-13,"yes",FALSE,"Entire rental unit",580
2012-04-05,FALSE,"Top 6-10","Entire home/apt",4,185,4.84,21,3,0.53,2,2,0,2019-02-22,"no",TRUE,"Entire rental unit",740
2012-04-15,FALSE,"Top 5","Entire home/apt",2,304,4.76,24,2,0.21,1,1,28,2019-08-04,"no",FALSE,"Entire rental unit",1216
2012-04-19,FALSE,"Top 5","Entire home/apt",2,109,4.61,123,3,1.22,1,1,0,2019-10-06,"yes",FALSE,"Entire rental unit",436
2012-04-20,FALSE,"Top 6-10","Entire home/apt",2,140,4.88,52,4,0.58,1,1,0,2018-11-26,"no",FALSE,"Entire rental unit",560
2012-04-21,FALSE,"Top 5","Entire home/apt",4,180,4.87,110,3,1.08,2,2,0,2018-04-25,"yes",FALSE,"Other",720
2012-04-22,FALSE,"Top 11-15","Entire home/apt",4,175,4.55,34,4,0.42,3,3,0,2018-08-06,"yes",FALSE,"Entire residential home",700
2012-04-03,FALSE,"Top 5","Entire home/apt",2,149,4.44,9,4,0.15,1,1,0,2016-12-11,"no",FALSE,"Entire townhouse",596
2012-04-23,FALSE,"Top 6-10","Private room",3,65,4.79,402,2,3.58,2,3,10,2020-03-08,"yes",TRUE,"Other",260
2011-12-28,TRUE,"Top 5","Private room",3,100,4.53,239,2,2.38,2,2,0,2020-03-05,"no",FALSE,"Private room in rental unit",400
2012-04-27,FALSE,"Top 5","Entire home/apt",4,261,4.59,79,3,0.85,2,3,17,2021-08-22,"no",FALSE,"Entire rental unit",1044
2012-04-28,FALSE,"Top 5","Entire home/apt",4,179,4.86,60,3,0.82,1,3,14,2018-07-06,"no",FALSE,"Entire rental unit",716
2012-03-24,FALSE,"Top 6-10","Entire home/apt",2,110,4.73,46,3,0.41,1,1,0,2017-06-26,"no",FALSE,"Entire rental unit",440
2012-05-07,FALSE,"Top 5","Entire home/apt",2,160,4.87,149,2,1.36,1,1,0,2018-09-01,"no",FALSE,"Entire rental unit",640
2012-05-15,FALSE,"Top 6-10","Entire home/apt",2,150,4.83,19,2,0.26,1,1,0,2019-07-23,"no",FALSE,"Other",600
2011-11-07,FALSE,"Top 6-10","Private room",2,95,4.71,438,2,4.76,1,1,16,2020-10-06,"yes",FALSE,"Other",380
2012-05-17,FALSE,"Top 6-10","Entire home/apt",4,200,4.86,54,3,0.49,3,3,0,2016-05-15,"no",FALSE,"Entire rental unit",800
2012-05-20,FALSE,"Top 11-15","Entire home/apt",5,79,4.4,96,2,0.87,2,4,0,2014-05-14,"no",FALSE,"Entire rental unit",316
2012-05-24,FALSE,"Top 6-10","Private room",2,167,4.86,31,1,0.32,1,1,29,2018-08-15,"yes",FALSE,"Other",668
2012-01-24,FALSE,"Top 5","Entire home/apt",4,299,4.72,60,3,0.68,3,5,0,2019-10-23,"yes",FALSE,"Entire rental unit",1196
2012-05-29,TRUE,"Top 5","Private room",3,140,4.95,127,3,1.51,2,3,6,2019-10-18,"yes",FALSE,"Private room in rental unit",560
2012-06-03,FALSE,"Top 11-15","Private room",4,120,5,2,2,0.07,1,2,30,2018-07-26,"yes",FALSE,"Private room in rental unit",480
2012-06-04,FALSE,"Top 5","Entire home/apt",4,145,4.84,181,3,1.64,1,1,7,2017-06-02,"no",FALSE,"Other",580
2012-06-05,FALSE,"Top 5","Entire home/apt",2,160,4.86,23,3,0.43,1,1,0,2020-03-18,"no",FALSE,"Entire rental unit",640
2012-06-10,FALSE,"Top 6-10","Private room",2,90,4.88,205,2,3.42,1,0,15,2020-02-16,"yes",FALSE,"Other",360
2012-06-14,FALSE,"Top 6-10","Entire home/apt",2,123,4.9,31,2,0.47,1,0,0,2018-11-25,"no",FALSE,"Entire rental unit",492
2012-06-18,FALSE,"Top 6-10","Entire home/apt",4,139,5,7,4,0.06,2,4,0,2015-08-01,"no",FALSE,"Entire rental unit",556
2012-05-06,FALSE,"Top 6-10","Entire home/apt",4,309,4.67,112,4,1.03,1,1,30,2018-09-17,"no",FALSE,"Other",1236
2012-06-21,FALSE,"Top 6-10","Entire home/apt",7,180,4.47,47,1,0.63,3,5,0,2020-01-02,"no",FALSE,"Entire rental unit",720
2012-06-21,FALSE,"Top 6-10","Entire home/apt",2,110,4.77,23,2,0.32,1,1,0,2016-03-11,"no",FALSE,"Entire rental unit",440
2012-06-24,FALSE,"Top 6-10","Entire home/apt",2,107,4.9,10,2,0.14,1,2,0,2017-09-20,"no",FALSE,"Entire rental unit",428
2012-02-29,FALSE,"Top 6-10","Entire home/apt",4,120,4.74,22,1,0.2,1,2,0,2015-05-31,"no",FALSE,"Entire rental unit",480
2012-06-25,FALSE,"Top 11-15","Entire home/apt",2,110,4.61,20,3,0.19,1,1,0,2019-05-24,"yes",FALSE,"Entire rental unit",440
2012-06-27,FALSE,"Top 6-10","Entire home/apt",4,195,5,5,4,0.05,4,4,0,2018-07-28,"no",FALSE,"Entire rental unit",780
2012-06-29,FALSE,"Top 5","Entire home/apt",3,150,4.93,16,4,0.26,2,2,0,2017-05-23,"no",FALSE,"Entire rental unit",600
2012-07-01,FALSE,"Top 5","Entire home/apt",2,140,4.96,55,2,0.52,1,1,14,2017-05-14,"yes",FALSE,"Entire rental unit",560
2012-07-01,TRUE,"Top 5","Private room",2,83,4.81,103,3,1.02,1,2,0,2019-08-10,"yes",FALSE,"Private room in rental unit",332
2012-05-22,TRUE,"Top 5","Private room",3,65,4.87,369,4,3.34,1,2,7,2020-02-16,"yes",FALSE,"Other",260
2012-07-02,FALSE,"Top 6-10","Entire home/apt",4,150,4.9,10,3,0.21,2,2,0,2018-05-27,"yes",FALSE,"Entire rental unit",600
2012-07-02,FALSE,"Top 5","Entire home/apt",2,125,4.8,5,3,0.08,1,1,0,2016-07-07,"no",FALSE,"Entire rental unit",500
2012-07-03,FALSE,"Top 6-10","Entire home/apt",2,206,4.8,26,2,0.35,2,2,0,2017-08-28,"no",FALSE,"Entire rental unit",824
2012-07-06,TRUE,"Top 6-10","Private room",2,124,4.96,469,2,4.33,1,1,8,2021-07-28,"yes",TRUE,"Other",496
2011-12-28,FALSE,"Top 5","Entire home/apt",4,300,4.57,76,3,0.7,2,3,0,2017-02-19,"no",FALSE,"Entire townhouse",1200
2011-02-23,FALSE,"Top 11-15","Entire home/apt",2,165,4.95,22,3,0.22,1,1,0,2019-06-03,"no",FALSE,"Entire rental unit",660
2012-07-08,FALSE,"Top 6-10","Entire home/apt",2,100,4.8,10,4,0.19,1,1,0,2017-09-09,"no",FALSE,"Entire rental unit",400
2012-07-08,FALSE,"Top 6-10","Entire home/apt",5,170,4.78,20,4,0.27,3,3,0,2016-05-02,"yes",FALSE,"Entire townhouse",680
2010-08-12,FALSE,"Top 5","Entire home/apt",4,230,4,1,2,0.02,3,4,0,2017-08-20,"no",FALSE,"Entire townhouse",920
2012-02-16,FALSE,"Top 5","Entire home/apt",6,291,4.45,181,3,2.76,3,6,11,2021-08-23,"yes",TRUE,"Entire rental unit",1164
2012-07-11,FALSE,"Top 6-10","Entire home/apt",4,100,4.81,48,3,0.6,2,2,0,2020-01-06,"yes",FALSE,"Entire rental unit",400
2012-07-12,FALSE,"Top 6-10","Entire home/apt",3,111,4.85,40,4,0.75,1,1,1,2020-03-06,"yes",FALSE,"Entire rental unit",444
